"","x"
"leftjoin_costs...2.",70966.1411432604
"X1",111.871781287368
"X2",99.418216415808
"X3",116.604982141002
"X4",123.488340189238
"X5",123.224852434968
"X6",109.956429413303
"X7",125.228061844072
"X8",121.321418652364
"X9",114.79650958645
"X10",105.593725993366
"X11",108.663975182886
"X12",116.748835157269
"X13",106.585390280558
"X14",114.477518188497
"X15",101.1101744518
"X16",129.450765087862
"X17",110.921809564361
"X18",123.613417565314
"X19",119.092560204728
"X20",118.148884992237
"X21",112.8641855241
"X22",118.682187351658
"X23",112.226639231016
"X24",115.593034425229
"X25",115.256391128511
"X26",107.166506057339
"X27",118.076851854164
"X28",100.552349944319
"X29",102.339845567008
"X30",136.918700557339
"X31",114.45148952403
"X32",113.558873484404
"X33",121.699242129852
"X34",111.985110907198
"X35",113.219824533698
"X36",131.713410588426
"X37",131.397991242837
"X38",115.692473239626
"X39",110.273576345378
"X40",114.645998160162
"X41",122.98430671916
"X42",107.083996410268
"X43",125.239409168419
"X44",107.705888741531
"X45",127.131548906175
"X46",105.600615224347
"X47",95.3440016478123
"X48",110.452839009951
"X49",122.418183576182
"X50",123.130663325582
"X51",116.93746503144
"X52",105.524440705434
"X53",114.82718244139
"X54",104.366581690261
"X55",111.820995089308
"X56",110.190243057057
"X57",110.803695363267
"X58",106.776075589555
"X59",111.991447867713
"X60",107.408265673324
"X61",114.2130758247
"X62",105.372663076076
"X63",113.214482022724
"X64",110.158516760586
"X65",110.012713884368
"X66",120.220805619972
"X67",114.24473740561
"X68",101.855485242272
"X69",107.349280085498
"X70",92.8971276902258
"X71",109.508657057057
"X72",109.160142008151
"X73",112.12906888331
"X74",112.661207303387
"X75",113.839168306528
"X76",114.608336202294
"X77",109.993280752399
"X78",102.475658581087
"X79",116.048666613409
"X80",107.792069732498
"X81",123.717608337756
"X82",101.439297827135
"X83",98.2122323352858
"X84",102.624265731934
"X85",116.591854641673
"X86",135.291859573395
"X87",118.992637364079
"X88",103.543855922724
"X89",98.5143005097389
"X90",120.460274630381
"X91",120.723290171348
"X92",106.62024533398
"X93",104.922808543049
"X94",115.094971191531
"X95",97.4857986525406
"X96",99.0873100260409
"X97",120.722658974876
"X98",110.192089110621
"X99",126.021312878193
"X100",102.516767917537
"X101",127.537396953211
"X102",120.59899734753
"X103",116.411780137826
"X104",111.85186854566
"X105",104.79815187163
"X106",118.290491967219
"X107",117.074121986591
"X108",106.731102201306
"X109",103.055425914926
"X110",101.055452424453
"X111",90.3266767237826
"X112",120.00316873832
"X113",120.0615945759
"X114",105.140913255434
"X115",119.778927716725
"X116",112.019966493366
"X117",115.611244822583
"X118",110.578074746436
"X119",107.794920062385
"X120",112.038370011468
"X121",101.247501523677
"X122",113.266285423677
"X123",96.6690783358504
"X124",99.6483488085745
"X125",115.439277325688
"X126",109.634152552964
"X127",112.573732614573
"X128",103.537337967678
"X129",104.314912691073
"X130",100.836643778193
"X131",99.0298547498941
"X132",101.086509013267
"X133",129.146951460727
"X134",106.609906251129
"X135",128.71334547777
"X136",114.086762622195
"X137",118.523471124312
"X138",118.546104703458
"X139",93.9823155892378
"X140",108.01770428645
"X141",107.436458076006
"X142",116.135193018454
"X143",98.3323571708539
"X144",119.655518448342
"X145",111.023384469231
"X146",139.528229753387
"X147",116.721634169125
"X148",114.971808064255
"X149",112.592748163585
"X150",120.384266513091
"X151",93.024910388638
"X152",100.700959633345
"X153",119.008248592414
"X154",113.445972795448
"X155",98.7990710057516
"X156",104.008059173818
"X157",121.402873556916
"X158",111.200218530381
"X159",100.434320700917
"X160",125.856684923606
"X161",124.59084986482
"X162",106.627789243825
"X163",116.752354540226
"X164",112.588954553952
"X165",73.5661692931193
"X166",115.079985937968
"X167",117.967019692378
"X168",106.064061280663
"X169",113.955620871418
"X170",121.429789466408
"X171",125.874389654869
"X172",106.425989866972
"X173",126.336254491884
"X174",116.184496053105
"X175",137.795285508045
"X176",97.2918789459774
"X177",115.577849503564
"X178",113.32595293024
"X179",107.392877811644
"X180",116.909444633063
"X181",99.5321244621383
"X182",113.270934675018
"X183",122.176989966373
"X184",112.486890528405
"X185",93.9737495927664
"X186",109.536354465596
"X187",111.449386523465
"X188",118.744996938744
"X189",110.648847396824
"X190",105.58115883765
"X191",135.823529930663
"X192",123.05486370868
"X193",119.01171832283
"X194",124.018447586768
"X195",100.969243049471
"X196",124.324651014361
"X197",117.240212810409
"X198",126.9537508488
"X199",117.154568432957
"X200",118.681953179675
"X201",114.099306752117
"X202",96.5394216318631
"X203",101.595583848871
"X204",108.608548268631
"X205",105.988498766831
"X206",108.588644139873
"X207",120.6125543729
"X208",121.282860125406
"X209",124.331556549753
"X210",109.328718314291
"X211",105.355772016337
"X212",105.747877376464
"X213",110.655270657057
"X214",119.627116021454
"X215",106.449988161044
"X216",98.4389644113268
"X217",108.15759306669
"X218",102.317762002823
"X219",123.407621094284
"X220",123.146330210833
"X221",99.8264853946366
"X222",119.679496110268
"X223",113.45856611175
"X224",101.443563576605
"X225",111.197319419866
"X226",95.7014666957657
"X227",101.389442873853
"X228",121.015040165067
"X229",126.018171441461
"X230",115.287002569584
"X231",136.679472390649
"X232",106.457984989944
"X233",93.1197805923077
"X234",120.214382114044
"X235",112.379491588038
"X236",127.884347502188
"X237",106.128452362597
"X238",98.4047791843331
"X239",111.124398268948
"X240",109.163479423853
"X241",116.426648600247
"X242",114.719299433698
"X243",117.91340199079
"X244",105.561635689238
"X245",125.721930927452
"X246",113.40633002844
"X247",108.841438820713
"X248",118.882295620042
"X249",107.515686985709
"X250",98.7468058265702
"X251",106.264062418419
"X252",111.18988770554
"X253",115.320266334051
"X254",111.56935569566
"X255",129.870710613726
"X256",109.037601266902
"X257",109.84940691295
"X258",101.579331050176
"X259",84.2415925927664
"X260",114.381926535462
"X261",109.906206343013
"X262",118.774061031722
"X263",111.332819907622
"X264",100.491081677629
"X265",111.383762897283
"X266",114.81353759386
"X267",89.4143103732181
"X268",97.8964776321454
"X269",115.4621432006
"X270",127.612749797601
"X271",128.188454771948
"X272",111.738433285427
"X273",111.400168927699
"X274",119.797175274629
"X275",110.576049140049
"X276",110.472535593366
"X277",113.661934289379
"X278",117.574323970819
"X279",109.288522841073
"X280",102.862583198377
"X281",101.642556124065
"X282",111.687322105857
"X283",119.419576217996
"X284",126.018665331757
"X285",100.416744325759
"X286",134.899646439661
"X287",115.891405968843
"X288",119.774318076676
"X289",114.203001764538
"X290",119.492882770889
"X291",95.0188881530699
"X292",107.289861740508
"X293",107.954718019301
"X294",100.301289874735
"X295",117.762840848306
"X296",102.821458664961
"X297",123.943984939908
"X298",104.605934567431
"X299",101.214347532251
"X300",108.762997871701
"X301",102.739379877982
"X302",120.592175890332
"X303",125.414206167713
"X304",107.129497415314
"X305",113.108165209809
"X306",122.194623670078
"X307",124.313752002646
"X308",108.084073970219
"X309",112.640659619337
"X310",114.683806256246
"X311",131.61008066796
"X312",116.605337150847
"X313",97.7833274033522
"X314",92.2775899705363
"X315",115.895164985956
"X316",116.692439862068
"X317",107.882391099859
"X318",123.302521556034
"X319",129.150833708327
"X320",129.59712901669
"X321",142.365994031157
"X322",134.308189205222
"X323",106.637565928582
"X324",108.70288101302
"X325",99.3875856382851
"X326",113.684834295131
"X327",99.3244462122795
"X328",119.937706656845
"X329",110.461061140579
"X330",118.291949350353
"X331",109.468576106281
"X332",102.387823776923
"X333",116.41967090614
"X334",105.077671927841
"X335",127.549576699894
"X336",122.742709562597
"X337",115.273080632534
"X338",116.202653415808
"X339",118.503299998412
"X340",111.80971800868
"X341",105.425849102294
"X342",131.428878491002
"X343",107.009463508751
"X344",127.543991123324
"X345",107.771109149365
"X346",120.497063191108
"X347",111.25103176549
"X348",131.36829429259
"X349",119.709824690155
"X350",121.122922931334
"X351",114.487840985533
"X352",119.842750193013
"X353",112.660942714432
"X354",103.466224648659
"X355",104.253128106387
"X356",111.812796107445
"X357",108.769653135498
"X358",119.901204711609
"X359",125.104159336556
"X360",111.558917492061
"X361",96.8232506838744
"X362",129.482836867784
"X363",111.444511896895
"X364",122.172347539838
"X365",121.891908258716
"X366",133.521038121877
"X367",117.315179128193
"X368",113.717657292449
"X369",103.882686877593
"X370",111.53731743204
"X371",101.414592790402
"X372",111.5050110753
"X373",118.035932107798
"X374",122.669262093013
"X375",122.262192771807
"X376",113.737722391884
"X377",114.260625938991
"X378",109.462489161574
"X379",108.226446117784
"X380",109.249483885286
"X381",105.619663907092
"X382",111.206226815314
"X383",103.137680236097
"X384",119.131618725794
"X385",103.390502034862
"X386",132.608844645872
"X387",130.554478649506
"X388",102.202280626041
"X389",133.674047525053
"X390",110.693536435709
"X391",120.978463763056
"X392",119.709229373147
"X393",120.687519059457
"X394",118.737217919407
"X395",119.315752153387
"X396",100.77289130494
"X397",113.340933912174
"X398",128.495181055646
"X399",123.442207372018
"X400",109.76490687096
"X401",114.890343499929
"X402",122.037143995201
"X403",109.077441500423
"X404",116.046793079499
"X405",117.753788751694
"X406",108.505620983451
"X407",129.035424824136
"X408",116.797786649894
"X409",121.615996678617
"X410",99.9931308751235
"X411",114.842242840332
"X412",111.168975136521
"X413",99.3697766786874
"X414",116.47978814259
"X415",90.6370131873677
"X416",120.087697957516
"X417",101.205073426711
"X418",108.520169655893
"X419",123.106188733839
"X420",123.135723957339
"X421",115.203000120642
"X422",105.790034045483
"X423",106.448377504305
"X424",131.396595674453
"X425",123.533534204234
"X426",102.949345745307
"X427",91.2621185607622
"X428",99.1848739128088
"X429",104.069395187297
"X430",104.356264825159
"X431",109.025631090226
"X432",108.839918290685
"X433",91.3208759798165
"X434",94.2961798596683
"X435",109.974166000635
"X436",97.1403166790402
"X437",120.740284732604
"X438",116.991185898236
"X439",110.697034694213
"X440",119.736868842202
"X441",95.1755787252646
"X442",127.511763544531
"X443",115.199109744248
"X444",106.514923271066
"X445",130.467570364679
"X446",124.748133174383
"X447",133.720281441284
"X448",122.544869291073
"X449",117.054699859174
"X450",89.3556064281228
"X451",114.457211921948
"X452",99.2868528981299
"X453",133.98179638024
"X454",129.368381907551
"X455",101.27329520374
"X456",129.680584401059
"X457",109.120591814996
"X458",105.796895143296
"X459",111.204918378758
"X460",121.138376228123
"X461",120.93616632223
"X462",97.0839786218772
"X463",96.9077009700776
"X464",114.157746754093
"X465",115.12596389012
