"","x"
"leftjoin_qalys...2.",70966.1411432604
"X1",0.275073409583627
"X2",0.249750484347212
"X3",0.266945348476358
"X4",0.2705681358518
"X5",0.288863286664785
"X6",0.266524505338038
"X7",0.283085903267466
"X8",0.2728158970247
"X9",0.265885895966126
"X10",0.260704189325335
"X11",0.260422008560339
"X12",0.271475126330275
"X13",0.271255087764291
"X14",0.275933389455187
"X15",0.252780098015526
"X16",0.290310111592096
"X17",0.259018585434721
"X18",0.275254353598447
"X19",0.276453029323924
"X20",0.276526148351447
"X21",0.267666977010586
"X22",0.280419857757939
"X23",0.259002433188426
"X24",0.272028881538462
"X25",0.280891010506704
"X26",0.253707923268878
"X27",0.275499185726182
"X28",0.246720469100212
"X29",0.251846782236415
"X30",0.301235662870854
"X31",0.263341360397318
"X32",0.27646622567537
"X33",0.27507816816302
"X34",0.26254537506422
"X35",0.261641877318278
"X36",0.286887920265349
"X37",0.305719373438956
"X38",0.273093508109386
"X39",0.260304830857445
"X40",0.276093660663373
"X41",0.283886730978828
"X42",0.260120036884263
"X43",0.286026155168666
"X44",0.265159092593507
"X45",0.291230519363444
"X46",0.252069988225829
"X47",0.250151880473536
"X48",0.267207771129852
"X49",0.287096443908257
"X50",0.282137869129852
"X51",0.274366387592096
"X52",0.251151803027523
"X53",0.264494335834157
"X54",0.26418026266055
"X55",0.267406946834157
"X56",0.246300119611856
"X57",0.268524055917431
"X58",0.247227903357092
"X59",0.26179646497036
"X60",0.264123262862385
"X61",0.256982237594919
"X62",0.259305510412138
"X63",0.271853727629499
"X64",0.271774043326747
"X65",0.253518684565984
"X66",0.280204908335215
"X67",0.271773617791108
"X68",0.252462094149612
"X69",0.257456548540579
"X70",0.240428211098095
"X71",0.253763561063514
"X72",0.256082582611856
"X73",0.259570105557516
"X74",0.277423593007763
"X75",0.271592781686662
"X76",0.281586804140438
"X77",0.26310851615808
"X78",0.247037531411433
"X79",0.27463939957163
"X80",0.260302786470713
"X81",0.292200470793931
"X82",0.255631096536344
"X83",0.240068138980946
"X84",0.244947007144672
"X85",0.271775363360621
"X86",0.307068872663373
"X87",0.274638614142555
"X88",0.246982486268878
"X89",0.23404173540861
"X90",0.274618858740296
"X91",0.295176946174312
"X92",0.251579028328158
"X93",0.251840033501764
"X94",0.267300050699365
"X95",0.239043677919548
"X96",0.254637113045166
"X97",0.278191068802399
"X98",0.263922338087509
"X99",0.290779086749471
"X100",0.251871357089626
"X101",0.30281366461609
"X102",0.288538850678193
"X103",0.273693423376852
"X104",0.260854769038814
"X105",0.245104928751588
"X106",0.275691072145378
"X107",0.281703804410727
"X108",0.263318292282287
"X109",0.24571525689132
"X110",0.254652358971066
"X111",0.23028009767537
"X112",0.285017688808045
"X113",0.265255876076923
"X114",0.255891969290049
"X115",0.277222022613973
"X116",0.265756613018349
"X117",0.267292876278052
"X118",0.276312112236415
"X119",0.264876198884968
"X120",0.263502931318278
"X121",0.251865066136909
"X122",0.267528249534227
"X123",0.242958113510939
"X124",0.243576683117855
"X125",0.270964569932251
"X126",0.267317556915314
"X127",0.269253870910374
"X128",0.249281816419901
"X129",0.251558480735356
"X130",0.244944582913197
"X131",0.244802528032463
"X132",0.244171772269584
"X133",0.303917148119972
"X134",0.272934132784757
"X135",0.292574383877911
"X136",0.259559844592802
"X137",0.265621890873677
"X138",0.279048751287227
"X139",0.233311343858857
"X140",0.255783634384615
"X141",0.255159776164432
"X142",0.280877458437544
"X143",0.238334697097389
"X144",0.280862682509527
"X145",0.269152883603387
"X146",0.310400481386027
"X147",0.275688488248412
"X148",0.262169434951306
"X149",0.257309834747354
"X150",0.285469426081157
"X151",0.218464591194072
"X152",0.251398250457304
"X153",0.268194634787579
"X154",0.275153425583627
"X155",0.24542892756175
"X156",0.249107847405787
"X157",0.278248207984474
"X158",0.272059421721948
"X159",0.23722307841849
"X160",0.286649106188426
"X161",0.290597905474241
"X162",0.25767095066549
"X163",0.274889417050812
"X164",0.274971718265349
"X165",0.210599784183486
"X166",0.269248061142555
"X167",0.280953728429076
"X168",0.2633583549506
"X169",0.273678235071277
"X170",0.273197985812279
"X171",0.294353951959068
"X172",0.272025125115737
"X173",0.294091585510233
"X174",0.274376384992943
"X175",0.324543632032463
"X176",0.247294498788991
"X177",0.2816529489259
"X178",0.272675533086803
"X179",0.254869160215949
"X180",0.270189564672548
"X181",0.251816962556104
"X182",0.265955794461538
"X183",0.27695803740367
"X184",0.26768103901976
"X185",0.240143084251941
"X186",0.266798764208186
"X187",0.265921476249118
"X188",0.271248804817925
"X189",0.276437428991531
"X190",0.257563255624559
"X191",0.300873663882145
"X192",0.289742508420607
"X193",0.274054929323218
"X194",0.282907157455893
"X195",0.2406190601482
"X196",0.289251363093155
"X197",0.283101675410727
"X198",0.292374274498236
"X199",0.275314548815808
"X200",0.281416768635145
"X201",0.285731314196895
"X202",0.23719258303952
"X203",0.253870941388144
"X204",0.253704612963303
"X205",0.249667862411433
"X206",0.259363032792519
"X207",0.292012070330981
"X208",0.294997420503881
"X209",0.301775871762174
"X210",0.255468384485533
"X211",0.247460753652788
"X212",0.258184851466478
"X213",0.264017173244884
"X214",0.269738568664785
"X215",0.260906235688779
"X216",0.253435556882145
"X217",0.263495742426958
"X218",0.252349882397318
"X219",0.289137794464361
"X220",0.286836413151023
"X221",0.235352109683133
"X222",0.275671905727593
"X223",0.274979319412138
"X224",0.24576214199012
"X225",0.262955523884263
"X226",0.237105064486944
"X227",0.247243374501059
"X228",0.288226166299929
"X229",0.28192688867043
"X230",0.276637489868031
"X231",0.299715853544107
"X232",0.263601458146789
"X233",0.244613987669725
"X234",0.277271338998589
"X235",0.267804501399435
"X236",0.282938812149612
"X237",0.255348424702893
"X238",0.24736578235427
"X239",0.265617924292167
"X240",0.264535283788285
"X241",0.26356433756669
"X242",0.268620593716302
"X243",0.269223546095977
"X244",0.253326269854622
"X245",0.275664895691602
"X246",0.264898600659845
"X247",0.263608723394495
"X248",0.275179365114326
"X249",0.273223707236415
"X250",0.250607450326041
"X251",0.248057267346507
"X252",0.262295142399435
"X253",0.27412398860621
"X254",0.264561783887085
"X255",0.289980416238532
"X256",0.256019829852505
"X257",0.259063069405787
"X258",0.246121811694425
"X259",0.22729185053211
"X260",0.273522889183486
"X261",0.273787492526464
"X262",0.275211696920254
"X263",0.257785901856034
"X264",0.253082467760056
"X265",0.268146715434016
"X266",0.272417494853917
"X267",0.237204130791108
"X268",0.254167226182781
"X269",0.270286822270995
"X270",0.301620326336627
"X271",0.291690786390261
"X272",0.277833942405081
"X273",0.27099530693084
"X274",0.284469036182075
"X275",0.25909450215314
"X276",0.273893507921666
"X277",0.277734259041637
"X278",0.280981543553987
"X279",0.264147506724065
"X280",0.243293143936486
"X281",0.259128678904023
"X282",0.270075630760762
"X283",0.284281350918137
"X284",0.28946742185674
"X285",0.241842283760056
"X286",0.292277957218066
"X287",0.268472977777699
"X288",0.269471074892731
"X289",0.271650429702188
"X290",0.274049397290049
"X291",0.231168430969654
"X292",0.248465705707833
"X293",0.253410424211715
"X294",0.255588055314044
"X295",0.280873362983769
"X296",0.249035821151023
"X297",0.291091212350035
"X298",0.254797355071277
"X299",0.249967787310515
"X300",0.252116982988709
"X301",0.251367347232886
"X302",0.270183152794637
"X303",0.282050514694425
"X304",0.255500708580099
"X305",0.257649476431898
"X306",0.291251347559633
"X307",0.286872115015526
"X308",0.263192623569513
"X309",0.263766589199012
"X310",0.26456369560127
"X311",0.293592635105857
"X312",0.275049604207481
"X313",0.235740394952717
"X314",0.229046117473536
"X315",0.275084205528582
"X316",0.288482905323924
"X317",0.261113150758645
"X318",0.274666600827099
"X319",0.294416703055046
"X320",0.286416682625265
"X321",0.310898434057869
"X322",0.305127247201129
"X323",0.256877645365561
"X324",0.260413409613267
"X325",0.248040363157375
"X326",0.263065928687368
"X327",0.251206550605505
"X328",0.284916011023994
"X329",0.256955142010586
"X330",0.272006754223006
"X331",0.246900424797459
"X332",0.243531725235709
"X333",0.277269431952717
"X334",0.251307370064926
"X335",0.288862471734651
"X336",0.279192106827805
"X337",0.266554755889908
"X338",0.263077673779111
"X339",0.265751672654905
"X340",0.26563661594072
"X341",0.249312085350035
"X342",0.310402951939308
"X343",0.255246098412844
"X344",0.290582422032463
"X345",0.266659323105857
"X346",0.273377707819337
"X347",0.260598301258998
"X348",0.281672270491884
"X349",0.27836696950741
"X350",0.277733312293578
"X351",0.273163310501059
"X352",0.276719461610445
"X353",0.27098932412844
"X354",0.250786063904728
"X355",0.247765208632322
"X356",0.257357925436838
"X357",0.260630954154552
"X358",0.279679148967537
"X359",0.291317323211715
"X360",0.268882271086803
"X361",0.240823613838391
"X362",0.281998591671136
"X363",0.263981061426958
"X364",0.280818674410021
"X365",0.278367219194072
"X366",0.299924852990826
"X367",0.269244222714891
"X368",0.280434186582922
"X369",0.257794985718419
"X370",0.259465086102329
"X371",0.251963191669019
"X372",0.267165516697248
"X373",0.276736940495413
"X374",0.276693142712773
"X375",0.271752891291461
"X376",0.269420580318278
"X377",0.268478906997177
"X378",0.26483933947777
"X379",0.263243697426253
"X380",0.269728181453776
"X381",0.259076392725476
"X382",0.262714576234298
"X383",0.254729987102329
"X384",0.271023522893437
"X385",0.255001428132675
"X386",0.307291485225124
"X387",0.297832684868031
"X388",0.236593016952717
"X389",0.297689990817925
"X390",0.274975555663373
"X391",0.283179107600565
"X392",0.281993376255469
"X393",0.270920974085392
"X394",0.286606448983063
"X395",0.278245990495413
"X396",0.248137003617502
"X397",0.264446015887085
"X398",0.294814312475653
"X399",0.284064035037403
"X400",0.255205569106563
"X401",0.267966026712068
"X402",0.282630847699365
"X403",0.2705199400494
"X404",0.268389525203246
"X405",0.277833325087509
"X406",0.269498809374735
"X407",0.295313678599153
"X408",0.273086823496119
"X409",0.294354800441778
"X410",0.246929237109386
"X411",0.267406599256881
"X412",0.281391639216655
"X413",0.250178243673959
"X414",0.273244202475653
"X415",0.229373618695131
"X416",0.278154663278052
"X417",0.259314560729711
"X418",0.258350115251235
"X419",0.272606416092449
"X420",0.292620626213126
"X421",0.264853560021171
"X422",0.259091618548342
"X423",0.265529272067749
"X424",0.300789948508116
"X425",0.283509180900494
"X426",0.259953607547636
"X427",0.227255641202541
"X428",0.237810569165843
"X429",0.251266711558927
"X430",0.253827731764291
"X431",0.265844999894848
"X432",0.264036834320395
"X433",0.230358160207481
"X434",0.237798054270289
"X435",0.257774055658433
"X436",0.240455670318984
"X437",0.280788513327452
"X438",0.272798517706422
"X439",0.267022556972477
"X440",0.274986780190543
"X441",0.245332682110797
"X442",0.284469277771348
"X443",0.272359386609739
"X444",0.26244274245307
"X445",0.298501827020466
"X446",0.290873273671842
"X447",0.295420158260409
"X448",0.28937442058151
"X449",0.277035135312632
"X450",0.226636609539167
"X451",0.271606706797459
"X452",0.243012755047283
"X453",0.309082900314749
"X454",0.285721993683133
"X455",0.249941847095977
"X456",0.293731384188426
"X457",0.2561426678765
"X458",0.252273682311221
"X459",0.265480032120678
"X460",0.274422170473536
"X461",0.28430428356175
"X462",0.238452910256881
"X463",0.249475712288638
"X464",0.280074665678899
"X465",0.263860917836274
"X466",0.268320160605505
"X467",0.264146856964008
"X468",0.225523869033169
"X469",0.266934804656316
"X470",0.306000280657728
"X471",0.260890462613973
"X472",0.261227180862385
"X473",0.302131604470007
"X474",0.238856721947777
"X475",0.268169784255469
"X476",0.257275567389555
"X477",0.232202957671842
"X478",0.280472258299224
"X479",0.305287032058574
"X480",0.249264588973888
"X481",0.282040826751588
"X482",0.272782937416373
"X483",0.320465876269584
"X484",0.26116338036909
"X485",0.239715126849682
"X486",0.275870011896965
"X487",0.290377682424135
"X488",0.273007207798871
"X489",0.262847653530699
"X490",0.292449049043049
"X491",0.25673458561609
"X492",0.269839927062809
"X493",0.231199140107269
"X494",0.27593516653705
"X495",0.238565194074806
"X496",0.293571709539167
"X497",0.277908289587156
"X498",0.284075553680311
"X499",0.269383539518701
"X500",0.274893112505293
"X501",0.246915984148906
"X502",0.278133153723359
"X503",0.260103421569513
"X504",0.256220345155258
"X505",0.279538502143966
"X506",0.288712324424841
"X507",0.2766491689259
"X508",0.277790038681722
"X509",0.308160309772759
"X510",0.264310935212421
"X511",0.262662805069866
"X512",0.286357795126323
"X513",0.262828710915314
"X514",0.247760993305575
"X515",0.28078969613338
"X516",0.25104244335921
"X517",0.279173377987297
"X518",0.257746173476359
"X519",0.278963500925194
"X520",0.257773572471418
"X521",0.279106537622442
"X522",0.27787305634439
"X523",0.274324307077629
"X524",0.259147406351447
"X525",0.261282864282287
"X526",0.269269858490473
"X527",0.255007447131263
"X528",0.284935663299929
"X529",0.273701948208892
"X530",0.276523183680311
"X531",0.270936664342978
"X532",0.262338986912491
"X533",0.281541601582216
"X534",0.275592298454481
"X535",0.260549625251941
"X536",0.263345042167255
"X537",0.248314737846154
"X538",0.262370322125618
"X539",0.238195067255469
"X540",0.267391500577276
"X541",0.263083564685956
"X542",0.275280785016937
"X543",0.271543096122795
"X544",0.28564784359633
"X545",0.25531282667043
"X546",0.251543681613267
"X547",0.281600900885674
"X548",0.254109806537756
"X549",0.270887964336627
"X550",0.267070856110797
"X551",0.258136688330981
"X552",0.254420390743825
"X553",0.267200101381793
"X554",0.278356388047989
"X555",0.283138756527876
"X556",0.277496653292872
"X557",0.296048411091037
"X558",0.268592168217361
"X559",0.269660665548342
"X560",0.277647180933663
"X561",0.289586775281581
"X562",0.251267573205363
"X563",0.248010404082569
"X564",0.311256771263232
"X565",0.254115845119972
"X566",0.259242715455893
"X567",0.294355819020466
"X568",0.272850641040226
"X569",0.25981799847777
"X570",0.283948806863091
"X571",0.27942301938885
"X572",0.314197417350741
"X573",0.264673061237121
"X574",0.274857253654905
"X575",0.280844497681722
"X576",0.274912732449541
"X577",0.25554073965561
"X578",0.280650669801694
"X579",0.263128902045872
"X580",0.262548767007057
"X581",0.255204239618913
"X582",0.255658594670431
"X583",0.263936749544813
"X584",0.277807181731122
"X585",0.27967363396048
"X586",0.272008191050106
"X587",0.255144434107975
"X588",0.273731210165138
"X589",0.259130164393084
"X590",0.300270941657022
"X591",0.245483544258998
"X592",0.248157283025406
"X593",0.267361372280875
