"","colMeans.random_costs..na.rm...TRUE."
"X1",760.627276756424
"X2",759.434182742773
"X3",758.621574807101
"X4",757.821522990828
"X5",759.873886984066
"X6",754.735740498901
"X7",757.283444425359
"X8",760.768063894675
"X9",757.592246475655
"X10",755.255334736644
"X11",753.747293872485
"X12",757.488110636264
"X13",756.534789867202
"X14",759.583056579079
"X15",761.06253826027
"X16",762.721761166441
"X17",758.740800308749
"X18",757.926270748478
"X19",763.009401067836
"X20",754.835692750338
"X21",764.553011831615
"X22",763.186160554861
"X23",759.360973843787
"X24",759.850784301775
"X25",754.939842324556
"X26",766.90022857667
"X27",755.644794244083
"X28",758.487445321724
"X29",761.076005020921
"X30",756.702183230685
"X31",756.435845005156
"X32",757.650921636052
"X33",759.484531597084
"X34",756.74100019869
"X35",755.837357713145
"X36",760.104997016019
"X37",759.280368404311
"X38",757.630898466653
"X39",756.087593900296
"X40",762.208011587658
"X41",762.89928312743
"X42",758.305301919949
"X43",757.858752571513
"X44",756.740986469527
"X45",762.306654524218
"X46",762.251201674303
"X47",756.008487039687
"X48",757.31737780765
"X49",759.379820942223
"X50",755.354970363271
"X51",756.786947988123
"X52",760.108366509467
"X53",757.936521447718
"X54",756.800632432756
"X55",759.196357060735
"X56",760.744994233305
"X57",759.924846846112
"X58",760.344587393111
"X59",763.56946651399
"X60",757.431449009298
"X61",762.341608920118
"X62",761.486368509256
"X63",758.71348818284
"X64",754.168700565173
"X65",755.24287976492
"X66",757.149663510609
"X67",755.034862158115
"X68",759.004101187532
"X69",756.674828254987
"X70",759.262686634615
"X71",760.428082187954
"X72",760.297583359467
"X73",761.717707863779
"X74",758.608839099324
"X75",754.638966085672
"X76",761.321876928318
"X77",759.086028190321
"X78",761.303711554184
"X79",755.654464965216
"X80",760.718612349577
"X81",765.459796482164
"X82",760.13421406175
"X83",762.326632540533
"X84",754.931012932206
"X85",758.423910142139
"X86",760.359183778149
"X87",762.384768879163
"X88",758.277383968766
"X89",758.189974686264
"X90",758.902711596746
"X91",758.095420960947
"X92",756.643533338757
"X93",760.949990398225
"X94",763.268392175063
"X95",757.863847192181
"X96",757.5992417612
"X97",762.732595247675
"X98",763.231486886517
"X99",758.590862464455
"X100",761.235282231065
"X101",756.036563423795
"X102",758.464415543026
"X103",754.545375118554
"X104",757.094224304734
"X105",755.889171850211
"X106",755.900701450211
"X107",762.880457601395
"X108",760.578907606213
"X109",756.534461084742
"X110",760.520905521302
"X111",760.781348366526
"X112",762.733919091631
"X113",764.372590771513
"X114",768.243425428614
"X115",760.812478995055
"X116",762.880218126627
"X117",756.010970970287
"X118",756.562695399704
"X119",763.33104414907
"X120",758.317362784996
"X121",755.793489779839
"X122",756.942511113948
"X123",760.852056630135
"X124",753.290453437236
"X125",761.081410715131
"X126",759.390825066653
"X127",761.545101837109
"X128",754.830514489518
"X129",766.604288945309
"X130",760.474882451183
"X131",756.12520883956
"X132",761.081116051353
"X133",755.89594096754
"X134",760.246654311496
"X135",758.241910845604
"X136",756.601156731107
"X137",757.299667895985
"X138",762.518492020752
"X139",758.008946688969
"X140",762.901560087954
"X141",764.925489680558
"X142",761.079759382206
"X143",760.528717159341
"X144",758.201878721048
"X145",754.536338268216
"X146",759.927101630051
"X147",761.546459890533
"X148",756.468814236475
"X149",761.47521589421
"X150",757.315897124937
"X151",758.582254832291
"X152",757.397534825148
"X153",757.285364367836
"X154",756.855258066019
"X155",756.416128234573
"X156",757.253202068597
"X157",763.185891250338
"X158",760.596750988673
"X159",763.27601943656
"X160",755.543785742773
"X161",762.2617775847
"X162",758.976670826205
"X163",760.199764757566
"X164",761.934239021048
"X165",761.746705727811
"X166",762.865146286729
"X167",761.670205903677
"X168",758.943646902282
"X169",759.684138874683
"X170",754.574939035799
"X171",755.493296249577
"X172",759.852815623584
"X173",756.996248668343
"X174",758.463277754903
"X175",759.575664205579
"X176",761.2132651235
"X177",754.404661380304
"X178",759.887911336348
"X179",761.274399235376
"X180",758.579088014328
"X181",758.994332901352
"X182",763.323563866314
"X183",756.919314355621
"X184",755.881269897506
"X185",763.064950078698
"X186",762.362922728149
"X187",761.017523192223
"X188",758.45349037836
"X189",759.302100288335
"X190",754.146156875782
"X191",759.701652476205
"X192",759.735391831826
"X193",764.210943509129
"X194",755.295492565385
"X195",764.272924807396
"X196",760.067696332967
"X197",756.082348803381
"X198",759.424176368935
"X199",759.157379693998
"X200",753.942800606593
"X201",756.02057058339
"X202",760.178711401014
"X203",759.228276810313
"X204",759.083054199155
"X205",759.918885628191
"X206",763.819169666019
"X207",757.576731787701
"X208",758.576867734869
"X209",754.414970561834
"X210",757.685555126712
"X211",760.993610809298
"X212",757.882117398732
"X213",760.155804833136
"X214",756.354966777811
"X215",764.903117350507
"X216",762.325840338926
"X217",763.328960114624
"X218",760.423071993195
"X219",756.560896974598
"X220",761.925388144252
"X221",759.071240070583
"X222",756.355805425993
"X223",759.816438216019
"X224",760.012344142815
"X225",758.482256029332
"X226",763.397720594463
"X227",757.167447417963
"X228",760.01252513246
"X229",757.81123838563
"X230",760.430788568047
"X231",760.183423539434
"X232",754.354363828867
"X233",760.235052704269
"X234",758.580824870921
"X235",757.916866532164
"X236",755.721034206763
"X237",761.053851279713
"X238",760.197659142223
"X239",757.223352340617
"X240",757.865956892223
"X241",757.331630095393
"X242",760.147964939687
"X243",758.427197904438
"X244",757.781006660482
"X245",763.608600713821
"X246",758.490252347422
"X247",758.846436928191
"X248",761.045208833897
"X249",764.200769168512
"X250",757.500167915849
"X251",759.504285161285
"X252",762.062333000634
"X253",760.596723935968
"X254",758.372775338123
"X255",758.971017805495
"X256",756.414435926881
"X257",756.053980756593
"X258",757.581307593153
"X259",759.229708669358
"X260",756.064292428656
"X261",761.844888714412
"X262",760.234900653677
"X263",757.191868773077
"X264",763.457849384869
"X265",763.130350695393
"X266",753.62871756213
"X267",760.286175078276
"X268",754.510178465173
"X269",760.039390334108
"X270",757.895170951014
"X271",762.418628262933
"X272",758.007516628318
