"","colMeans.random_QALYs..na.rm...TRUE."
"X1",1.57047115925951
"X2",1.57059922350296
"X3",1.57096566475402
"X4",1.57005569011327
"X5",1.5732923765038
"X6",1.57143100710397
"X7",1.57031984903128
"X8",1.57078392341843
"X9",1.56954618039222
"X10",1.57090839510059
"X11",1.57082766813525
"X12",1.56854660304649
"X13",1.57063303584446
"X14",1.5709157915503
"X15",1.57112373745055
"X16",1.56926765122908
"X17",1.57141325562468
"X18",1.5708832471716
"X19",1.57050835283516
"X20",1.57084182705325
"X21",1.57113197920879
"X22",1.56827864024007
"X23",1.57011126914962
"X24",1.57281287523584
"X25",1.57192044074725
"X26",1.57070805697718
"X27",1.57222897836348
"X28",1.57046164953846
"X29",1.56980547878614
"X30",1.57077673829586
"X31",1.57015691581065
"X32",1.57085112544717
"X33",1.56908865714624
"X34",1.56992847117836
"X35",1.57202377971598
"X36",1.57182513220964
"X37",1.56915585917498
"X38",1.57146164953846
"X39",1.57169072815216
"X40",1.5717788515672
"X41",1.57052525900592
"X42",1.57150729619949
"X43",1.57124842045985
"X44",1.56991938411158
"X45",1.57325645089096
"X46",1.56899884311412
"X47",1.5703242869011
"X48",1.56983527591209
"X49",1.57132175097549
"X50",1.57127335706171
"X51",1.57148489552325
"X52",1.57113895300423
"X53",1.56877948554861
"X54",1.57011126914962
"X55",1.5726000688115
"X56",1.57062204683347
"X57",1.57041262164328
"X58",1.57162585072189
"X59",1.5719502378732
"X60",1.57054343313948
"X61",1.57205273153339
"X62",1.57121334015554
"X63",1.56974165799155
"X64",1.57218713559087
"X65",1.57153793863398
"X66",1.56854448977515
"X67",1.56769432071344
"X68",1.57161739763652
"X69",1.57204195384954
"X70",1.56929089721386
"X71",1.56999694116991
"X72",1.57155569011327
"X73",1.57088705106002
"X74",1.57194051682502
"X75",1.57192107472866
"X76",1.57002082113609
"X77",1.56913578309721
"X78",1.5689692573153
"X79",1.5709164255317
"X80",1.57065247794083
"X81",1.57120235114455
"X82",1.56973299357904
"X83",1.57011803161792
"X84",1.57268776957227
"X85",1.5719029005951
"X86",1.57022961234489
"X87",1.56786803161792
"X88",1.56955780338462
"X89",1.5697972370279
"X90",1.57298531817751
"X91",1.57014360220118
"X92",1.57050328098394
"X93",1.57100074505833
"X94",1.57076215672358
"X95",1.57017128605579
"X96",1.57035091412003
"X97",1.56915564784784
"X98",1.57078371209129
"X99",1.57105378816906
"X100",1.57154998428064
"X101",1.57101638326627
"X102",1.57262563939476
"X103",1.57107280761116
"X104",1.57151849653762
"X105",1.57117445596281
"X106",1.56963578309721
"X107",1.57193861488081
"X108",1.5711080992426
"X109",1.57032280761116
"X110",1.56959943483009
"X111",1.5719563663601
"X112",1.56887944328318
"X113",1.57096503077261
"X114",1.56911211445816
"X115",1.57197031395097
"X116",1.56998193694336
"X117",1.57199208064582
"X118",1.57073531817751
"X119",1.56985936720541
"X120",1.56975349231107
"X121",1.57109224970752
"X122",1.57039465883686
"X123",1.56957999273373
"X124",1.57244495469484
"X125",1.56949440524429
"X126",1.57094918123753
"X127",1.56967508994421
"X128",1.57211697498225
"X129",1.5694963071885
"X130",1.56932661149958
"X131",1.57130801471175
"X132",1.56923362756044
"X133",1.56925518292815
"X134",1.56907323026543
"X135",1.57049081268301
"X136",1.5705620299273
"X137",1.5714489699104
"X138",1.56892699188842
"X139",1.57146651006255
"X140",1.57030949400169
"X141",1.57015437988504
"X142",1.57119918123753
"X143",1.56939381352832
"X144",1.57077589298732
"X145",1.57090670448352
"X146",1.57056900372274
"X147",1.56884309501606
"X148",1.57170763432291
"X149",1.57011211445816
"X150",1.57069136213356
"X151",1.56931689045139
"X152",1.5733580992426
"X153",1.56813303584446
"X154",1.57021270617413
"X155",1.57015543652071
"X156",1.57012796399324
"X157",1.57003709332544
"X158",1.57115247794083
"X159",1.56902652696872
"X160",1.5724956732071
"X161",1.57097115925951
"X162",1.57083675520203
"X163",1.57094558867625
"X164",1.56895213981741
"X165",1.56950877548943
"X166",1.5695810493694
"X167",1.57212352612341
"X168",1.56900623956382
"X169",1.57086951090786
"X170",1.5716664255317
"X171",1.57276194539645
"X172",1.57202694962299
"X173",1.57280336551479
"X174",1.56924039002874
"X175",1.56866050837194
"X176",1.57199313728149
"X177",1.57176067743364
"X178",1.56961782029079
"X179",1.57030632409467
"X180",1.56920869095858
"X181",1.57047834438208
"X182",1.56953667067118
"X183",1.57046164953846
"X184",1.57115522519358
"X185",1.56999017870161
"X186",1.5706657915503
"X187",1.56793164108538
"X188",1.56923362756044
"X189",1.57058443060355
"X190",1.57122623111074
"X191",1.57041241031615
"X192",1.57171017024852
"X193",1.56992678056128
"X194",1.57103793863398
"X195",1.56858823449197
"X196",1.5699434754049
"X197",1.56957787946238
"X198",1.57023637481319
"X199",1.57192424463567
"X200",1.57152589298732
"X201",1.57096503077261
"X202",1.57049651851564
"X203",1.56876215672358
"X204",1.57068354302959
"X205",1.57226257937785
"X206",1.57159837819442
"X207",1.57171714404396
"X208",1.5722192573153
"X209",1.57028709332544
"X210",1.57210514066272
"X211",1.57092720321555
"X212",1.57009795554015
"X213",1.5713107619645
"X214",1.57033696652916
"X215",1.57208252865934
"X216",1.57044389805917
"X217",1.56892508994421
"X218",1.56985831056974
"X219",1.56905505613187
"X220",1.56987310346915
"X221",1.57176152274218
"X222",1.57035894455114
"X223",1.57161401640237
"X224",1.57034753288588
"X225",1.57099905444125
"X226",1.57071545342688
"X227",1.57124081268301
"X228",1.57054575773795
"X229",1.57403772730685
"X230",1.57066600287743
"X231",1.5695742869011
"X232",1.57091917278445
"X233",1.57175983212511
"X234",1.57217847117836
"X235",1.57091452358749
"X236",1.571369722235
"X237",1.56969664531192
"X238",1.57083548723922
"X239",1.57011993356213
"X240",1.57115712713779
"X241",1.57122686509214
"X242",1.5696596630634
"X243",1.57153540270837
"X244",1.57118142975824
"X245",1.56901934184615
"X246",1.56995150583601
"X247",1.57168290904818
"X248",1.57021122688419
"X249",1.56881646779713
"X250",1.56997454049366
"X251",1.5703906436213
"X252",1.57081604514286
"X253",1.57081773575993
"X254",1.57126659459341
"X255",1.57135619729839
"X256",1.5711609310262
"X257",1.57010492933559
"X258",1.57246798935249
"X259",1.57337268081488
"X260",1.5715952082874
"X261",1.57008569856636
"X262",1.57137183550634
"X263",1.56946820067963
"X264",1.57191790482164
"X265",1.56954195384953
"X266",1.57037986593745
"X267",1.57215459121217
"X268",1.57121841200676
"X269",1.57075328098394
"X270",1.57071270617413
"X271",1.57149144666441
"X272",1.57037120152494
"X273",1.57182111699408
"X274",1.57096460811834
"X275",1.56974525055283
"X276",1.57134013643618
"X277",1.56918290904818
"X278",1.57132661149958
"X279",1.57020235114455
"X280",1.57089508149112
"X281",1.57179258783094
"X282",1.5695485049907
"X283",1.56865628182925
"X284",1.57117952781403
"X285",1.57188831902282
"X286",1.56851004345224
"X287",1.5719570003415
"X288",1.57015395723077
"X289",1.57024060135587
"X290",1.57135091412003
"X291",1.56987965461031
"X292",1.57036570701944
"X293",1.57275645089096
"X294",1.56991219898901
"X295",1.56942551259848
"X296",1.57070911361285
"X297",1.57130801471175
"X298",1.56909605359594
"X299",1.57055928267456
"X300",1.57140776111919
"X301",1.56976913051902
"X302",1.56912986593745
"X303",1.57222179324091
"X304",1.5710030696568
"X305",1.56995383043449
"X306",1.57189994201522
"X307",1.56991896145731
"X308",1.57166494624176
"X309",1.57062289214201
"X310",1.57027716095013
"X311",1.57187204683347
"X312",1.5700356140355
"X313",1.56993924886221
"X314",1.57057682282671
"X315",1.57126363601353
"X316",1.57159880084869
"X317",1.56976215672358
"X318",1.57198722012172
"X319",1.57180019560778
"X320",1.57326638326627
"X321",1.57044791327473
"X322",1.57149334860862
"X323",1.57045826830431
"X324",1.5731000688115
"X325",1.56981435452578
"X326",1.57049102401014
"X327",1.56999863178698
"X328",1.56984098174472
"X329",1.56947010262384
"X330",1.56954491242942
"X331",1.56996503077261
"X332",1.57198468419611
"X333",1.57122052527811
"X334",1.57020932493998
"X335",1.56864381352832
"X336",1.56967762586982
"X337",1.57163493778867
"X338",1.57063958698563
"X339",1.57085323871851
"X340",1.56888789636855
"X341",1.56990374590363
"X342",1.57056456585292
"X343",1.57101257937785
"X344",1.56784858952156
"X345",1.57019791327473
"X346",1.57144432071344
"X347",1.57247749907354
"X348",1.5699102970448
"X349",1.57072559712933
"X350",1.57121439679121
"X351",1.57103011953001
"X352",1.56941135368047
"X353",1.57040902908199
"X354",1.57175137903973
"X355",1.57151490397633
"X356",1.5701080992426
"X357",1.57160154810144
"X358",1.56958527591209
"X359",1.57058612122063
"X360",1.57040057599662
"X361",1.57206667912426
"X362",1.56968459966526
"X363",1.57047094793238
"X364",1.56918037312257
"X365",1.57126426999493
"X366",1.5710472370279
"X367",1.57123088030769
"X368",1.57023996737447
"X369",1.56939761741674
"X370",1.57095467574303
"X371",1.57139930803381
"X372",1.57225454894675
"X373",1.56930928267456
"X374",1.56852547033305
"X375",1.57033696652916
"X376",1.57070425308876
"X377",1.57036443905664
"X378",1.5708906436213
"X379",1.57088641707861
"X380",1.57074461657143
"X381",1.56945488707016
"X382",1.57017825985123
"X383",1.57012162417921
"X384",1.57017107472866
"X385",1.57184711023161
"X386",1.57135894455114
"X387",1.57124292595435
"X388",1.57216875013018
"X389",1.57211739763652
"X390",1.57134034776331
"X391",1.56849482789856
"X392",1.56853455739983
"X393",1.56924842045985
"X394",1.57133443060355
"X395",1.57048109163483
"X396",1.56898193694336
"X397",1.57128244412849
"X398",1.57223383888757
"X399",1.57201976450042
"X400",1.57188810769569
"X401",1.57162606204903
"X402",1.57082090566695
"X403",1.57027103246323
"X404",1.56995425308876
"X405",1.57091071969907
"X406",1.57133231733221
"X407",1.57025412629248
"X408",1.56978350076416
"X409",1.57133738918343
"X410",1.56946418546407
"X411",1.5697456732071
"X412",1.57077462502451
"X413",1.57261232578529
"X414",1.56996101555706
"X415",1.57014550414539
"X416",1.57111591834658
"X417",1.5680024356754
"X418",1.57133865714624
"X419",1.57039360220118
"X420",1.57064339087405
"X421",1.57215332324937
"X422",1.57049588453423
"X423",1.57066684818597
"X424",1.57000602823669
"X425",1.57261401640237
"X426",1.57071735537109
"X427",1.56998447286898
"X428",1.57330695807608
"X429",1.5704096630634
"X430",1.57037606204903
"X431",1.5717382767574
"X432",1.57225835283516
"X433",1.57179258783094
"X434",1.57138641707861
"X435",1.57187120152494
"X436",1.57089846272527
"X437",1.57225264700254
"X438",1.57082513220964
"X439",1.57030336551479
"X440",1.57230188622485
"X441",1.57214508149112
"X442",1.57161401640237
"X443",1.57189148892984
"X444",1.56978328943702
"X445",1.56963726238715
"X446",1.56956773575993
"X447",1.57341008571767
"X448",1.5702524356754
"X449",1.56925497160101
"X450",1.57074482789856
"X451",1.57066748216737
"X452",1.57021735537109
"X453",1.57143037312257
"X454",1.56962690735757
"X455",1.56996841200676
"X456",1.57001490397633
"X457",1.56906858106847
"X458",1.57031604514286
"X459",1.56819495469484
"X460",1.57145552105156
"X461",1.57137246948774
"X462",1.56943988284362
"X463",1.57276110008791
"X464",1.570712494847
"X465",1.5703242869011
"X466",1.57020277379882
"X467",1.57280632409467
"X468",1.56842825985123
"X469",1.56992001809298
"X470",1.57213472646154
"X471",1.57140057599662
"X472",1.5708378118377
"X473",1.57187014488926
"X474",1.57006562248859
"X475",1.57021503077261
"X476",1.56811169180389
"X477",1.56848362756044
"X478",1.57228624801691
"X479",1.57254216517667
"X480",1.5702646926492
"X481",1.57102652696872
"X482",1.57130843736602
"X483",1.56998700879459
"X484",1.57244072815216
"X485",1.57330674674894
"X486",1.56949377126289
"X487",1.57168481099239
"X488",1.56988134522739
"X489",1.57008358529501
"X490",1.57182196230262
"X491",1.57155801471175
"X492",1.56993798089941
"X493",1.569580415388
"X494",1.57122052527811
"X495",1.57023235959763
"X496",1.57379005190533
"X497",1.56825328098394
"X498",1.57035429535418
"X499",1.56719326407777
"X500",1.57017952781403
"X501",1.57199588453423
"X502",1.57017044074725
"X503",1.57271397413694
"X504",1.57171967996957
"X505",1.57145150583601
"X506",1.57234732155875
"X507",1.57188303584446
"X508",1.56886887692646
"X509",1.57076257937785
"X510",1.57087563939476
"X511",1.5702985049907
"X512",1.57010408402705
"X513",1.57199842045985
"X514",1.57082914742519
"X515",1.57022263854945
"X516",1.57009478563314
"X517",1.57258527591209
"X518",1.57110450668132
"X519",1.57038366982587
"X520",1.56961993356213
"X521",1.57075476027388
"X522",1.56972137058664
"X523",1.57003096483855
"X524",1.57085366137278
"X525",1.57070932493998
"X526",1.57068142975824
"X527",1.57064698343533
"X528",1.57107534353677
"X529",1.57068417701099
"X530",1.56928350076416
"X531",1.57100687354522
"X532",1.57053392341843
"X533",1.56830442215046
"X534",1.57099546187997
"X535",1.5709157915503
"X536",1.57130970532882
"X537",1.56911718630938
"X538",1.57024229197295
"X539",1.5691135937481
"X540",1.57077230042604
"X541",1.56977800625866
"X542",1.56964782874387
"X543",1.57049884311412
"X544",1.57124123533728
"X545",1.57003984057819
"X546",1.57138557177008
"X547",1.5717450392257
"X548",1.57078265545562
"X549",1.5698777526661
"X550",1.5728113959459
"X551",1.5696474060896
"X552",1.57237014488926
"X553",1.5695681584142
"X554",1.57043692426374
"X555",1.56889085494844
"X556",1.57218206373964
"X557",1.5717327822519
"X558",1.57133886847337
"X559",1.57042339932713
"X560",1.57095044920034
"X561",1.56792699188842
"X562",1.57011042384108
"X563",1.56997559712933
"X564",1.5703580992426
"X565",1.56869410938631
"X566",1.5701203562164
"X567",1.56974863178698
"X568",1.56970108318174
"X569",1.57047496314793
"X570",1.57012754133897
"X571",1.57356414319865
"X572",1.57231667912426
"X573",1.56925074505833
"X574",1.56912394877768
"X575",1.57199609586137
"X576",1.56832048301268
"X577",1.57109288368893
"X578",1.57120277379882
"X579",1.56989951936095
"X580",1.57387500541336
"X581",1.57019263009637
"X582",1.57258907980051
"X583",1.57009034776331
"X584",1.56938895300423
"X585",1.56864296821978
"X586",1.57141008571767
"X587",1.57150771885376
"X588",1.57145108318174
"X589",1.56987859797464
"X590",1.57020932493998
"X591",1.57129005190533
"X592",1.5713310493694
"X593",1.57166008571767
"X594",1.57006097329163
"X595",1.56997792172781
"X596",1.57111169180389
"X597",1.57154618039222
"X598",1.57127187777177
"X599",1.56988134522739
"X600",1.57220044920034
"X601",1.57112120152494
"X602",1.57061908825359
"X603",1.57312246948774
"X604",1.57021270617413
"X605",1.5715749208825
"X606",1.56977864024007
"X607",1.57126574928487
"X608",1.57156414319865
"X609",1.57180991665596
"X610",1.56732132832122
"X611",1.57077103246323
"X612",1.56937902062891
"X613",1.56937373745055
"X614",1.5711996038918
"X615",1.57094918123753
"X616",1.5676148617109
"X617",1.56920805697718
"X618",1.56985154810144
"X619",1.5696934754049
"X620",1.5691854449738
"X621",1.57214930803381
"X622",1.56957449822823
"X623",1.57149144666441
"X624",1.57330421082333
"X625",1.56949398259003
"X626",1.57130569011327
"X627",1.56994601133052
"X628",1.56944706796619
"X629",1.5691203562164
"X630",1.56931689045139
"X631",1.56896883466103
"X632",1.57099926576839
"X633",1.56865649315638
"X634",1.57153371209129
"X635",1.5705024356754
"X636",1.56942847117836
"X637",1.57202864024007
"X638",1.57281266390871
"X639",1.56955167489772
"X640",1.57054364446661
"X641",1.57018523364666
"X642",1.57165015334235
"X643",1.57309563094167
"X644",1.5705220890989
"X645",1.57105991665596
"X646",1.57066304429755
"X647",1.56962986593745
"X648",1.56916853880304
"X649",1.57039761741674
"X650",1.56916832747591
"X651",1.56984563094167
"X652",1.57234182705325
"X653",1.57184246103466
"X654",1.57153899526965
"X655",1.57147644243787
"X656",1.57401088876078
"X657",1.56886655232798
"X658",1.57239233423838
"X659",1.57108992510904
"X660",1.57021693271682
"X661",1.57303265545562
"X662",1.5692856140355
"X663",1.5696793164869
"X664",1.56998658614032
"X665",1.57245108318174
"X666",1.56968713559087
"X667",1.56953582536264
"X668",1.57137014488926
"X669",1.57096735537109
"X670",1.56955843736602
"X671",1.57105104091631
"X672",1.57085218208284
"X673",1.57056583381572
"X674",1.56841558022316
"X675",1.57154956162637
"X676",1.56839148892984
"X677",1.57240839510059
"X678",1.57007787946238
"X679",1.57148257092477
"X680",1.57026448132206
"X681",1.5708967721082
"X682",1.57075940947084
"X683",1.57140628182925
"X684",1.57050349231107
"X685",1.57090247794083
"X686",1.56998869941167
"X687",1.57311845427219
"X688",1.57018164108538
"X689",1.57067424463567
"X690",1.57077969687574
"X691",1.57118840355368
"X692",1.57056963770414
"X693",1.57015691581065
"X694",1.57258760051057
"X695",1.56970805697718
"X696",1.5717775836044
"X697",1.56981625646999
"X698",1.57063430380727
"X699",1.56942699188842
"X700",1.56844072815216
"X701",1.57019241876923
"X702",1.56870974759425
"X703",1.56934563094167
"X704",1.57082724548098
"X705",1.57241917278445
"X706",1.57098595215892
"X707",1.5728433063432
"X708",1.57144453204057
"X709",1.56866875013018
"X710",1.57096038157566
"X711",1.57148679746746
"X712",1.57049820913271
"X713",1.5701541685579
"X714",1.57354596906509
"X715",1.5700878118377
"X716",1.57110978985968
"X717",1.56865564784784
"X718",1.57159795554015
"X719",1.57212141285207
"X720",1.57067656923415
"X721",1.57100602823669
"X722",1.56968016179544
"X723",1.57049757515131
