"","x"
"X1",110.541717375055
"X2",133.269374186412
"X3",122.358046789835
"X4",87.7103106237762
"X5",107.759426353302
"X6",103.000785753504
"X7",122.191825394432
"X8",126.364717206957
"X9",123.287428004388
"X10",111.906812528291
"X11",109.095759556172
"X12",95.0476123346893
"X13",113.287691703366
"X14",118.860478470267
"X15",92.4671722727787
"X16",127.807455243008
"X17",100.023733015703
"X18",113.33153492352
"X19",118.157374806561
"X20",106.443675469771
"X21",111.850709743044
"X22",108.316310759052
"X23",111.415139107888
"X24",124.475963217676
"X25",105.813828117576
"X26",126.675870897564
"X27",133.108878217368
"X28",134.689591205368
"X29",112.659990767543
"X30",120.454393915997
"X31",99.4676215458145
"X32",105.25567266973
"X33",134.497339860234
"X34",118.222499365295
"X35",109.626172642776
"X36",110.573643785602
"X37",93.4984747780107
"X38",117.879963306157
"X39",141.100701329955
"X40",117.057582939667
"X41",117.26849051893
"X42",114.785928793511
"X43",115.992810766704
"X44",93.3926918963987
"X45",107.877309418985
"X46",108.702046856736
"X47",123.179498175476
"X48",99.4299279218219
"X49",126.078913592132
"X50",118.480551758057
"X51",126.03278015815
"X52",119.133913884155
"X53",114.6997069829
"X54",114.402061774655
"X55",103.360734766307
"X56",109.700462485421
"X57",121.619450676478
"X58",123.406808876514
"X59",120.357781538736
"X60",112.564626067737
"X61",106.444419056234
"X62",111.511707138271
"X63",127.718067023224
"X64",116.927174956105
"X65",109.000925358894
"X66",112.562461953797
"X67",124.99413783513
"X68",107.048056050862
"X69",100.556993890266
"X70",108.058191115391
"X71",125.733669526389
"X72",113.78497357785
"X73",136.82927903015
"X74",113.67654632658
"X75",121.977332829985
"X76",116.238904893946
"X77",133.913746819342
"X78",113.610414960282
"X79",129.349359568583
"X80",113.380533594698
"X81",90.1156181029342
"X82",105.053719201302
"X83",119.971586543258
"X84",94.3432560201464
"X85",99.9567680290942
"X86",120.252693021551
"X87",113.048482030519
"X88",109.495078432506
"X89",113.319752012698
"X90",107.13587207892
"X91",103.059237111693
"X92",100.711944641628
"X93",98.1292179526125
"X94",117.447040841703
"X95",115.330380882242
"X96",117.899535585491
"X97",120.15901520772
"X98",107.304627146703
"X99",108.465322954718
"X100",110.787526608888
"X101",102.478785499631
"X102",114.19079749241
"X103",112.221909353703
"X104",108.436853158746
"X105",95.1134619489613
"X106",116.296936331267
"X107",115.291102015559
"X108",99.7688114853338
"X109",114.591296132582
"X110",117.872564162202
"X111",115.016379040766
"X112",116.600696156882
"X113",107.607104500279
"X114",116.211209686171
"X115",125.397234438033
"X116",86.1577915909975
"X117",101.083448815547
"X118",117.388602362912
"X119",104.922300467361
"X120",137.05052995148
"X121",103.062816169598
"X122",116.821118619257
"X123",111.877453132289
"X124",128.005347318886
"X125",118.90669233404
"X126",116.105437635706
"X127",99.7403419526245
"X128",117.462055969349
"X129",125.407459123256
"X130",108.077358424663
"X131",115.719827558838
"X132",106.151267496509
"X133",106.085366369361
"X134",114.891487155597
"X135",107.183282607547
"X136",109.599261427783
"X137",94.4806913269368
"X138",117.23550721804
"X139",107.14208810615
"X140",89.824430870668
"X141",127.738798920718
"X142",122.921855891725
"X143",105.409894759169
"X144",115.447183436449
"X145",96.6270618777754
"X146",122.15410056954
"X147",110.296215276027
"X148",110.090428216677
"X149",117.846100928293
"X150",94.6308669859321
"X151",107.390427319317
"X152",116.792489303123
"X153",121.954676505207
"X154",123.982369088878
"X155",116.419828749461
"X156",115.825532409766
"X157",113.225638790643
"X158",107.948720079161
"X159",121.006409915828
"X160",95.0398103273412
"X161",102.553184940107
"X162",107.74422679127
"X163",99.9830306289964
"X164",116.177667746426
"X165",104.180771259583
"X166",103.147062779372
"X167",106.229823384488
"X168",131.587544459888
"X169",109.469793606347
"X170",111.449951334411
"X171",129.617171408468
"X172",124.087482851264
"X173",106.299623532392
"X174",124.117277233977
"X175",90.3144846968925
"X176",128.025556212766
"X177",113.720783940797
"X178",99.4567419995518
"X179",113.472965175172
"X180",113.760647622849
"X181",107.615610833826
"X182",107.931918873795
"X183",110.703732733096
"X184",106.732058853189
"X185",134.643729148315
"X186",120.903771144135
"X187",121.453432869676
"X188",106.174859482903
"X189",93.9041489616663
"X190",114.66787722447
"X191",126.541667099401
"X192",95.4101704918976
"X193",127.98972840803
"X194",116.771808044789
"X195",100.210134720302
"X196",123.977185910483
"X197",114.326220240062
"X198",98.4392098230506
"X199",111.910505293431
"X200",111.061147107235
"X201",108.551788241976
"X202",114.923188169639
"X203",106.675635435931
"X204",114.34679334234
"X205",94.5004775766755
"X206",107.901830839982
"X207",99.8843777118777
"X208",106.726334329472
"X209",102.716033933825
"X210",105.121639521239
"X211",109.611022263543
"X212",113.009323992219
"X213",111.228997490164
"X214",104.415565497389
"X215",110.336888158143
"X216",115.197516211127
"X217",100.052086195787
"X218",115.186023467326
"X219",113.709946180009
"X220",102.751663381758
"X221",123.333881412906
"X222",117.225236676031
"X223",100.087498855831
"X224",109.858914765674
"X225",103.902069735733
"X226",108.037346984991
"X227",106.811798736833
"X228",96.3184791388995
"X229",110.488717638351
"X230",105.838360721284
"X231",112.857071318899
"X232",112.751335792145
"X233",113.869202218072
"X234",109.819641571491
"X235",107.301082583344
"X236",97.7667196552514
"X237",112.159504081011
"X238",120.048753306782
"X239",127.887612892969
"X240",109.653457205788
"X241",104.030116622793
"X242",125.277333056445
"X243",118.802430744033
"X244",117.683670750078
"X245",115.370680473203
"X246",116.845093739579
"X247",116.08010380866
"X248",111.076988641686
"X249",112.571869662412
"X250",110.715699239313
"X251",104.817671257561
"X252",100.987413235124
"X253",119.114749215507
"X254",99.735180223438
"X255",116.491046211293
"X256",112.00204760682
"X257",108.15864637693
"X258",99.0708528181482
"X259",131.474600605213
"X260",93.0134229181272
"X261",110.286361989841
"X262",96.6961231190848
"X263",94.6076012541697
"X264",114.705554424436
"X265",102.149088050689
"X266",122.514360183237
"X267",125.496244483172
"X268",97.5340657360152
"X269",111.087466524572
"X270",102.629882340652
"X271",119.284688449759
"X272",106.21880950915
"X273",96.0853213679536
"X274",102.783652772831
"X275",116.274436473538
"X276",131.442889918296
"X277",115.752816119134
"X278",119.423702934284
"X279",107.517633131005
"X280",102.276369942858
"X281",125.930825303429
"X282",106.512051962384
"X283",111.526556785067
"X284",119.92322198583
"X285",101.235792483365
"X286",111.947823776916
"X287",96.5351105172504
"X288",104.98686051465
"X289",114.245240058394
"X290",117.662366558157
"X291",109.058017386487
"X292",120.921386071166
"X293",115.779740857648
"X294",114.138646573827
"X295",129.88026261906
"X296",113.252491488417
"X297",121.498663001575
"X298",119.529174705895
"X299",122.407660913223
"X300",118.926347342008
"X301",130.029183263344
"X302",113.282561681868
"X303",111.967322591213
"X304",110.900408816038
"X305",146.481850891454
"X306",124.603006518584
"X307",111.287428413881
"X308",100.412645053428
"X309",109.797035303738
"X310",107.953919011141
"X311",129.543726574203
"X312",100.635757642372
