"","x"
"X1",0.804184478918843
"X2",0.809320881233592
"X3",0.809819295564573
"X4",0.809679597892731
"X5",0.810264118776994
"X6",0.804392855347212
"X7",0.805941348909605
"X8",0.804491235045166
"X9",0.807662269819915
"X10",0.80576696331475
"X11",0.809299030698659
"X12",0.806400898508821
"X13",0.807223647220339
"X14",0.807088420987297
"X15",0.809705931649259
"X16",0.807584856040226
"X17",0.809857575666902
"X18",0.806946074534933
"X19",0.808686366129146
"X20",0.807168312017655
"X21",0.806386281070572
"X22",0.809030571242061
"X23",0.806289122067749
"X24",0.808160546420607
"X25",0.805310476421313
"X26",0.805977924618913
"X27",0.804762623875794
"X28",0.805701939475282
"X29",0.805387481796754
"X30",0.807930038754411
"X31",0.805213669844037
"X32",0.804612868343684
"X33",0.806948644789697
"X34",0.805456440800282
"X35",0.805742299932251
"X36",0.806437330384615
"X37",0.811197393645025
"X38",0.805546058822159
"X39",0.808905906750882
"X40",0.807002316378264
"X41",0.807735523931545
"X42",0.807823281598447
"X43",0.807643379977417
"X44",0.806479232143966
"X45",0.808500995040226
"X46",0.806240464191249
"X47",0.806897765838391
"X48",0.807336047912491
"X49",0.80274096657163
"X50",0.808606983914548
"X51",0.806686917338744
"X52",0.806392726057869
"X53",0.808973016517996
"X54",0.809004374105932
"X55",0.804323847788285
"X56",0.809928382928672
"X57",0.808399681407904
"X58",0.804080781279464
"X59",0.807370671658192
"X60",0.804998785993649
"X61",0.807322597381793
"X62",0.80502396267537
"X63",0.803265261336627
"X64",0.807801223503881
"X65",0.806427349750882
"X66",0.809904631740113
"X67",0.806867164568102
"X68",0.805122815309809
"X69",0.806488533505999
"X70",0.810190668983757
"X71",0.807109728338983
"X72",0.806103101673959
"X73",0.80532666846295
"X74",0.803988938534227
"X75",0.809197749505293
"X76",0.806532716939308
"X77",0.804699602712571
"X78",0.807991078531073
"X79",0.807883787730932
"X80",0.806115050810162
"X81",0.807720275091743
"X82",0.807359262434016
"X83",0.803989114050812
"X84",0.805214674800282
"X85",0.809709322313338
"X86",0.807400447359915
"X87",0.805580199870148
"X88",0.806262263569513
"X89",0.808250345012006
"X90",0.805554013863091
"X91",0.806750114275229
"X92",0.803826942940678
"X93",0.805989626602682
"X94",0.80709972843331
"X95",0.806860560666902
"X96",0.807351980515879
"X97",0.807936729638673
"X98",0.805470421674665
"X99",0.809813729671136
"X100",0.804458704273818
"X101",0.805551595719831
"X102",0.808327088390261
"X103",0.803836630887791
"X104",0.804123343558222
"X105",0.804861844095272
"X106",0.807784726416373
"X107",0.805594880470007
"X108",0.809555880782639
"X109",0.808853350553282
"X110",0.807349496633027
"X111",0.805814758726182
