"","colMeans.random_costs..na.rm...TRUE."
"X1",373.860898841607
"X2",373.926411610836
"X3",369.763901279824
"X4",380.349821800941
"X5",371.554373616589
"X6",372.988455878714
"X7",373.054034964393
"X8",372.150926686367
"X9",376.757270418515
"X10",373.472718653384
"X11",372.336235384748
"X12",376.524487807066
"X13",377.199789740468
"X14",377.939335182773
"X15",368.585521073979
"X16",365.166730699616
"X17",376.381264416617
"X18",376.97680147665
"X19",370.515732372834
"X20",373.326162178724
"X21",378.069125201661
"X22",374.148308063408
"X23",372.757092388311
"X24",378.144770647234
"X25",372.82342614999
"X26",372.268486595688
"X27",376.677218502939
"X28",378.537781931974
"X29",373.594643409199
"X30",370.273244678176
"X31",377.039654563864
"X32",372.534727885138
"X33",376.799342975823
"X34",373.848328492261
"X35",375.528072697098
"X36",373.472265457326
"X37",380.670310404646
"X38",373.439494056753
"X39",374.875103841922
"X40",384.594904449861
"X41",380.515424798965
"X42",373.74386616088
"X43",379.674878408847
"X44",373.710520199268
"X45",377.024045409983
"X46",372.696499035998
"X47",373.288032512045
"X48",378.420788425506
"X49",374.410779956474
"X50",370.874446250736
"X51",382.924776318047
"X52",375.741509766724
"X53",374.381047285842
"X54",377.053972788736
"X55",373.038007173717
"X56",374.964225289997
"X57",376.883177762152
"X58",371.171805746356
"X59",372.514337113097
"X60",372.631760141288
"X61",373.378574025378
"X62",374.374239039089
"X63",373.037843268651
"X64",384.144390231239
"X65",374.594024886715
"X66",369.562062171032
"X67",375.525564442914
"X68",376.24400770234
"X69",378.420526411759
"X70",372.853266119571
"X71",374.458053413344
"X72",375.462918703104
"X73",372.035518643193
"X74",374.272173220051
"X75",383.995834509678
"X76",373.526357357812
"X77",372.180349000558
"X78",372.232655378629
"X79",374.033577979237
"X80",376.95276233216
"X81",369.65532166528
"X82",374.210796689899
"X83",378.044132901146
"X84",370.390136721971
"X85",374.479691034855
"X86",372.651298622776
"X87",371.805895555726
"X88",373.838994932669
"X89",374.747836342734
"X90",374.152598019439
"X91",369.411022630534
"X92",368.192770885051
"X93",376.820211048215
"X94",374.43806582443
"X95",377.091450998003
"X96",373.94990484073
"X97",364.839535581745
"X98",370.08067757825
"X99",378.443253577274
"X100",375.624199018566
"X101",372.357631472608
"X102",374.609658951396
"X103",377.047545660843
"X104",374.793674419635
"X105",381.180220429668
"X106",378.505654205238
"X107",378.356173263662
"X108",374.985221931649
"X109",372.805102770637
"X110",374.475387926449
"X111",384.48684196816
"X112",376.534257911477
"X113",370.935458691672
"X114",380.445109601887
"X115",372.946391082952
"X116",377.359086874227
"X117",373.351615936307
"X118",367.629924138005
"X119",374.22989864885
"X120",373.479105560095
"X121",369.270681499012
"X122",376.786222800304
"X123",375.590433013644
"X124",374.41224907924
"X125",379.560850092704
"X126",373.191430427178
"X127",374.757012424353
"X128",374.025288545535
"X129",375.944802772971
"X130",381.411680323892
"X131",374.274434897071
"X132",372.449474525151
"X133",373.272418189993
"X134",378.358151200007
"X135",381.646296350532
"X136",374.956344936659
"X137",375.769391065914
"X138",377.526520183264
"X139",371.389282567979
"X140",373.250801357468
"X141",370.911243655092
"X142",374.426297988609
"X143",380.872133726753
"X144",375.466190080083
"X145",377.865095261213
"X146",376.056032159732
"X147",378.533455620757
