"","colMeans.random_QALYs..na.rm...TRUE."
"X1",0.167602878916173
"X2",0.168608199492815
"X3",0.168126059322034
"X4",0.166930237489398
"X5",0.166409168081494
"X6",0.167267796610169
"X7",0.166098478444632
"X8",0.165538200339559
"X9",0.167341603053435
"X10",0.167908918005072
"X11",0.167186282811177
"X12",0.167176968670618
"X13",0.168901187446989
"X14",0.169070008460237
"X15",0.168744915254237
"X16",0.166741935483871
"X17",0.17053807106599
"X18",0.167470787468247
"X19",0.169186759729272
"X20",0.16909936440678
"X21",0.169467769296014
"X22",0.168513124470787
"X23",0.168977079796265
"X24",0.168668644067797
"X25",0.166467612193057
"X26",0.167619923857868
"X27",0.167552754237288
"X28",0.169072184589331
"X29",0.167710381355932
"X30",0.168480916030534
"X31",0.168797113752122
"X32",0.169272457627119
"X33",0.166218035563082
"X34",0.165935531914894
"X35",0.167172815945717
"X36",0.166621604414261
"X37",0.170964800678541
"X38",0.167183842239186
"X39",0.168011844331641
"X40",0.165430203045685
"X41",0.168220737913486
"X42",0.168938719253605
"X43",0.169775613886537
"X44",0.168478159457167
"X45",0.168671755725191
"X46",0.167395797962649
"X47",0.167085738539898
"X48",0.170104872881356
"X49",0.164609813084112
"X50",0.167328958509738
"X51",0.166660956006768
"X52",0.167959991532599
"X53",0.167280694326842
"X54",0.166793570219966
"X55",0.169278154106689
"X56",0.168311016949153
"X57",0.16642561284869
"X58",0.168092428087986
"X59",0.167783869602032
"X60",0.168606779661017
"X61",0.166268920068027
"X62",0.166610194585448
"X63",0.168247028862479
"X64",0.168504460492778
"X65",0.168236440677966
"X66",0.165276059322034
"X67",0.166824129141886
"X68",0.169433375634518
"X69",0.165236263736264
"X70",0.167526740237691
"X71",0.167972692633362
"X72",0.166149915182358
"X73",0.167740677966102
"X74",0.16817436440678
"X75",0.167440466101695
"X76",0.170081783601014
"X77",0.168381244707875
"X78",0.166449617346939
"X79",0.168156514382403
"X80",0.168849788135593
"X81",0.168899279050042
"X82",0.166487743026205
"X83",0.167176483050847
"X84",0.167441101694915
"X85",0.166926420695505
"X86",0.16798434856176
"X87",0.16781350550381
"X88",0.169263370118846
"X89",0.167835376162299
"X90",0.168677754237288
"X91",0.164380811496196
"X92",0.170692047377327
"X93",0.167412436548223
"X94",0.169163200339559
"X95",0.166575275657337
"X96",0.171211016949153
"X97",0.169589966130398
"X98",0.165482415254237
"X99",0.169066949152542
"X100",0.165590101522843
"X101",0.16703916172735
"X102",0.167157070279424
"X103",0.167559533898305
"X104",0.166553268251273
"X105",0.167332133784928
"X106",0.170082838983051
"X107",0.168174235993209
"X108",0.170682455395072
"X109",0.165219966159052
"X110",0.169222950126796
"X111",0.167469729043184
"X112",0.168483516483516
"X113",0.167338147833475
"X114",0.163822758037225
"X115",0.165607959356478
"X116",0.167957027942422
"X117",0.169414473684211
"X118",0.168111440677966
"X119",0.165933319220999
"X120",0.166590059473237
"X121",0.16765343803056
"X122",0.168240858843537
"X123",0.168198772226926
"X124",0.167790712468193
"X125",0.16884250635055
"X126",0.16781064461408
"X127",0.168606175972927
"X128",0.16756175721562
"X129",0.167532755705833
"X130",0.167972858354538
"X131",0.168679508890771
"X132",0.170757627118644
"X133",0.166700593723494
"X134",0.169445624468989
"X135",0.16849936440678
"X136",0.168884860050891
"X137",0.168140067911715
"X138",0.168662362404742
"X139",0.166180050718512
"X140",0.167912288135593
"X141",0.16777843803056
"X142",0.168652542372881
"X143",0.165638464800679
"X144",0.167502756573367
"X145",0.168171543681086
"X146",0.165660457239627
"X147",0.16697883149873
"X148",0.167854184277261
"X149",0.168522015241321
"X150",0.170063721325404
"X151",0.168240025466893
"X152",0.1687990237691
"X153",0.169494468085106
"X154",0.169129661016949
"X155",0.168271822033898
"X156",0.169895038167939
"X157",0.168283955857385
"X158",0.170490458015267
"X159",0.167228849407783
"X160",0.165403683319221
"X161",0.168565677966102
"X162",0.166225465313029
"X163",0.168044529262087
"X164",0.16719279661017
"X165",0.166796147332769
"X166",0.167944162436548
"X167",0.168260152284264
"X168",0.169356144067797
"X169",0.168425126903553
"X170",0.166465101522843
"X171",0.169369915254237
"X172",0.168417587085811
"X173",0.169431779661017
"X174",0.169340466101695
"X175",0.169194703389831
"X176",0.169208756345178
"X177",0.168971822033898
"X178",0.168201441899915
"X179",0.16713973706531
"X180",0.169391193903472
"X181",0.168418712955123
"X182",0.166954834605598
"X183",0.170314406779661
"X184",0.165737521150592
"X185",0.167216582064298
"X186",0.165868008474576
"X187",0.165796130952381
"X188",0.168019524617997
"X189",0.169162859560068
"X190",0.167058686440678
"X191",0.169896434634975
"X192",0.166889194915254
"X193",0.169868220338983
"X194",0.168434745762712
"X195",0.16774427480916
"X196",0.165709957627119
"X197",0.170265016920474
"X198",0.16788686440678
"X199",0.17044627749577
"X200",0.168704276037257
"X201",0.169466553767993
"X202",0.16815516511431
"X203",0.168116185216653
"X204",0.168274830220713
"X205",0.16944674556213
"X206",0.169820458404075
"X207",0.166700423728814
"X208",0.169065152801358
"X209",0.166861016949153
"X210",0.167409187129551
"X211",0.165444538526672
"X212",0.168998514431239
"X213",0.166586082910321
"X214",0.169217612193057
"X215",0.168049069373942
"X216",0.168951735817104
"X217",0.167224597798476
"X218",0.168859229466554
"X219",0.166061916878711
"X220",0.169430084745763
"X221",0.168632627118644
"X222",0.168231340118745
"X223",0.167075296108291
"X224",0.16718372982158
"X225",0.166480118443316
"X226",0.17143935538592
"X227",0.167541490262489
"X228",0.166377330508475
"X229",0.170888771186441
"X230",0.167340773809524
"X231",0.167747461928934
"X232",0.170689406779661
"X233",0.167061063829787
"X234",0.169890067911715
"X235",0.168547629127858
"X236",0.16826273344652
"X237",0.16878450465707
"X238",0.169915606446141
"X239",0.166204545454545
"X240",0.168095681625741
"X241",0.169025423728814
"X242",0.169020127118644
"X243",0.169725998300765
"X244",0.167933035714286
"X245",0.16668734123624
"X246",0.166782994923858
"X247",0.16844437394247
"X248",0.169137806943268
"X249",0.167915959252971
"X250",0.168215918712955
"X251",0.166950169635284
"X252",0.165403519932146
"X253",0.168442013593883
"X254",0.166738771186441
"X255",0.167766920473773
"X256",0.168973728813559
"X257",0.16738686440678
"X258",0.166967851099831
"X259",0.168705122777307
"X260",0.167048174872666
"X261",0.171075699745547
"X262",0.171026293469042
"X263",0.167562393526405
"X264",0.170495346869712
"X265",0.168853090601185
"X266",0.170958863443596
"X267",0.168980720338983
"X268",0.16563686440678
"X269",0.168269263336156
"X270",0.165999788314987
"X271",0.167113463166808
"X272",0.166655668358714
"X273",0.168905084745763
"X274",0.167039796782388
"X275",0.168777612574342
"X276",0.168316737288136
"X277",0.169482430143946
"X278",0.166713559322034
"X279",0.168748305084746
"X280",0.167741955969517
"X281",0.169351867572156
"X282",0.16793734123624
"X283",0.166968405428329
"X284",0.168131891433418
"X285",0.166596055979644
"X286",0.166876910016978
"X287",0.167601397121084
"X288",0.165734123624047
"X289",0.169039551607445
"X290",0.167572731128075
"X291",0.170511228813559
"X292",0.16735798816568
"X293",0.167339814032122
"X294",0.170227599323753
"X295",0.166761440677966
"X296",0.168013959390863
"X297",0.168622457627119
"X298",0.166274576271186
"X299",0.167313988095238
"X300",0.167328323454699
"X301",0.165942911714771
"X302",0.167658396946565
"X303",0.168412299239222
"X304",0.166647717666948
"X305",0.169354502973662
"X306",0.167220076400679
"X307",0.168334465195246
"X308",0.166526438240271
"X309",0.168378704487722
"X310",0.168198049194232
"X311",0.166659187129551
"X312",0.167311759729272
"X313",0.170093220338983
"X314",0.166161939034716
"X315",0.166437022900763
"X316",0.167199490662139
"X317",0.16506764206955
"X318",0.168694585448393
"X319",0.169845127118644
"X320",0.16654936440678
"X321",0.167427453468697
"X322",0.167060593220339
"X323",0.169275613886537
"X324",0.168584745762712
"X325",0.168298003398471
"X326",0.165479906937394
"X327",0.170151611535199
"X328",0.169827754237288
"X329",0.167537648054146
"X330",0.167056451612903
"X331",0.167947457627119
"X332",0.166382003395586
"X333",0.167177815410669
"X334",0.168555038103302
"X335",0.16843416596105
"X336",0.167945246179966
"X337",0.167847504230118
"X338",0.166305814940577
"X339",0.167524576271186
"X340",0.16666906779661
"X341",0.168918723404255
"X342",0.168544915254237
"X343",0.168539194915254
"X344",0.166147495755518
"X345",0.16560326547922
"X346",0.166624682472481
"X347",0.167817527519052
"X348",0.167982340425532
"X349",0.168701524132091
"X350",0.16803360101437
"X351",0.167411352040816
"X352",0.168255715495343
"X353",0.168700169635284
"X354",0.16880076142132
"X355",0.166418712955123
"X356",0.169703058623619
"X357",0.169757633587786
"X358",0.167578111769687
"X359",0.167899279050042
"X360",0.167541949152542
"X361",0.166380177514793
"X362",0.168755922165821
"X363",0.167572156196944
"X364",0.16694437394247
"X365",0.165604360711262
"X366",0.168242385786802
"X367",0.168259778911565
"X368",0.166600169061708
"X369",0.165502326565144
"X370",0.166604237288136
"X371",0.165962774957699
"X372",0.17007917019475
"X373",0.167050042408821
"X374",0.171264382402707
"X375",0.16617048346056
"X376",0.170229043183743
"X377",0.167211407972858
"X378",0.167151187446989
"X379",0.168709991532599
"X380",0.167464528462192
"X381",0.168756779661017
"X382",0.168999153259949
"X383",0.169818278201866
"X384",0.168289406779661
"X385",0.170990693739425
"X386",0.164997455470738
"X387",0.167924133558749
"X388",0.167307154953429
"X389",0.16996192893401
"X390",0.170537616229924
"X391",0.170493002544529
"X392",0.1680916596105
"X393",0.167453257191201
"X394",0.167422831632653
"X395",0.170777801358234
"X396",0.168103528911565
"X397",0.168701312447079
"X398",0.164962044105174
"X399",0.169463651732882
"X400",0.168339694656489
"X401",0.16633093220339
"X402",0.169265876375953
"X403",0.167042796610169
"X404",0.166012923728814
"X405",0.165302374893978
"X406",0.168365580016935
"X407",0.167607233502538
"X408",0.167806779661017
"X409",0.168060067681895
"X410",0.167936336717428
"X411",0.169783022861981
"X412",0.166990245971162
"X413",0.169230050933786
"X414",0.168637996618766
"X415",0.168937977909941
"X416",0.168844227504244
"X417",0.167874365482234
"X418",0.165617260390161
"X419",0.166439303904924
"X420",0.168174512298558
"X421",0.169693104906937
"X422",0.168478140916808
"X423",0.169522033898305
"X424",0.17033149872989
"X425",0.166670974576271
"X426",0.168150551314673
"X427",0.169122033898305
"X428",0.1688125
"X429",0.166021222410866
"X430",0.169058736217133
"X431",0.169482430143946
"X432",0.16859179357022
"X433",0.168159168081494
"X434",0.167564140558848
"X435",0.168491730279898
"X436",0.170030958439355
"X437",0.170326629974598
"X438",0.170199745547074
"X439",0.170471822033898
"X440",0.169243226079594
"X441",0.171090118744699
"X442",0.166743237531699
"X443",0.165785351397121
"X444",0.168181297709924
"X445",0.167864503816794
"X446",0.168830357142857
"X447",0.166710904480135
"X448",0.168179574468085
"X449",0.170042408821035
"X450",0.165911031276416
"X451",0.168156382079459
"X452",0.16858149872989
"X453",0.168797245762712
"X454",0.169882514817951
"X455",0.165655428329092
"X456",0.168852966101695
"X457",0.168375742154368
"X458",0.168642493638677
"X459",0.167812447078747
"X460",0.164614618644068
"X461",0.169949787234043
"X462",0.168218485617597
"X463",0.16748983911939
"X464",0.168241928632116
"X465",0.166533389687236
"X466",0.16739588634436
"X467",0.166935647756139
"X468",0.169562870448772
"X469",0.168674978867287
"X470",0.167336505922166
"X471",0.168551818950931
"X472",0.17051775147929
"X473",0.167215860899067
"X474",0.171561228813559
"X475",0.168662923728814
"X476",0.167197969543147
"X477",0.168820642978003
"X478",0.166066045723963
"X479",0.16613093220339
"X480",0.16608347421809
"X481",0.168452966101695
"X482",0.168245562130178
"X483",0.169523920406435
"X484",0.167995981387479
"X485",0.169064194915254
"X486",0.16821867061812
"X487",0.168494923857868
"X488",0.169234137055838
"X489",0.167299576271186
"X490",0.16885656779661
"X491",0.168303299492386
"X492",0.16886396434635
"X493",0.167872457627119
"X494",0.170577265029636
"X495",0.168341871295512
"X496",0.168844966159052
"X497",0.168609906462585
"X498",0.166470500848896
"X499",0.167730916030534
"X500",0.168167869269949
"X501",0.165467400508044
"X502",0.169690577249576
"X503",0.168712256149279
"X504",0.170394345238095
"X505",0.165001485568761
"X506",0.168508671742809
"X507",0.166912064570943
"X508",0.16893643707483
"X509",0.165611747243427
"X510",0.167863155668359
"X511",0.167392766497462
